Sağlanan Şartlar,Score %
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",103.6
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",103.6
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",103.6
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",103.6
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",102.7
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",102.7
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",102.7
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",102.7
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",102.7
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",101.8
