Sağlanan Şartlar,Score %
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",81.08
"RSI_DIVERGENCE, MACD_VOLUME, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",81.08
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL",81.08
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",81.08
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",81.08
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",81.08
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",81.08
"FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",81.08
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"EMA_CONDITION, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",80.18
"EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, EMA_CONDITION, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",80.18
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",80.18
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL",80.18
"RSI_DIVERGENCE, MACD_VOLUME, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",80.18
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H",80.18
"MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",80.18
"MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, EMA_CONDITION, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",79.28
"MACD_VOLUME, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL",79.28
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"MACD_VOLUME, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"EMA_CONDITION, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",79.28
"EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",79.28
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",79.28
"MACD_VOLUME, EMA_CONDITION, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",78.38
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL",78.38
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",78.38
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",78.38
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"MACD_VOLUME, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, STRONG_SIGNAL, CYPHER_PATTERN",78.38
"RSI_DIVERGENCE, MACD_VOLUME, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",78.38
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL",78.38
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL",77.48
"EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL",77.48
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, SUPER_TREND, FORECAST, STRONG_SIGNAL",77.48
"NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"RSI_DIVERGENCE, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL",77.48
"MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",77.48
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",77.48
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",77.48
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL",77.48
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"EMA_CONDITION, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"MACD_VOLUME, EMA_CONDITION, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"MACD_VOLUME, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",76.58
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",76.58
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL",76.58
"MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",76.58
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",76.58
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H",76.58
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL",76.58
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, CYPHER_PATTERN",76.58
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, TREND_KIRILDI_4H, CYPHER_PATTERN",76.58
"NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"MACD_VOLUME, EMA_CONDITION, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"MACD_VOLUME, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, EMA_CONDITION, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, MACD_VOLUME, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"EMA_CONDITION, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"EMA_CONDITION, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",75.68
"PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"MACD_VOLUME, EMA_CONDITION, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"MACD_VOLUME, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"EMA_CONDITION, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",75.68
"RSI_DIVERGENCE, MACD_VOLUME, FIBONACCI_SUPPORT, SUPER_TREND, FORECAST, STRONG_SIGNAL",75.68
"RSI_DIVERGENCE, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",75.68
"MACD_VOLUME, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL, TREND_KIRILDI_4H",74.77
"NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL, CYPHER_PATTERN",74.77
"MACD_VOLUME, EMA_CONDITION, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, STRONG_SIGNAL",74.77
"MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, SUPER_TREND, STRONG_SIGNAL",74.77
"EMA_CONDITION, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, STRONG_SIGNAL, TREND_KIRILDI_4H, CYPHER_PATTERN",74.77
"RSI_DIVERGENCE, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL",74.77
"RSI_DIVERGENCE, MACD_VOLUME, NEAR_LOWER_CHANNEL, PRICE_PREDICTION_TAHMIN, FORECAST, STRONG_SIGNAL, CYPHER_PATTERN",74.77
"NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",74.77
"RSI_DIVERGENCE, NEAR_LOWER_CHANNEL, SUPER_TREND, FORECAST, STRONG_SIGNAL, TREND_KIRILDI_4H",74.77
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, STRONG_SIGNAL",74.77
"RSI_DIVERGENCE, MACD_VOLUME, EMA_CONDITION, NEAR_LOWER_CHANNEL, FIBONACCI_SUPPORT, PRICE_PREDICTION_TAHMIN, SUPER_TREND, FORECAST, CYPHER_PATTERN",74.77
